,gfcc_0,gfcc_1,gfcc_2,gfcc_3,gfcc_4,gfcc_5,gfcc_6,gfcc_7,gfcc_8
0,0.03526993336662413,-5.4072900900534735e-05,-0.0069279386079706545,-0.006574491695907992,-0.004621761057705873,0.0017381102845794737,0.0011087809922992128,0.003624855815449312,-0.0009842021293577632
1,0.042270303027721286,0.00380461117994004,-0.008553483526180088,-0.006398592884802141,-0.006616851298155496,-0.000704677116674981,0.0015410796086458623,0.00482955917215118,-0.0003820948713508877
2,0.03368487828805954,0.00247912123277489,-0.011866954851818991,-0.006707241182513667,-0.0013755360184025736,0.0009899682103641223,0.0022948749033479725,0.002920194590335778,-0.0009941475252056354
3,0.024433954398052998,0.003621830772487215,-0.006712851764052711,-0.006556536456623124,-0.0025771066244222283,0.00028295547164892574,0.002507527472458137,0.0020573105090936263,-0.0005653805348704295
4,0.039138277799338435,0.0023901256199916955,-0.013819347627534402,-0.007116568408935454,-0.0017821003679689765,0.000498964204211321,0.002465780727389356,0.004249560669489433,-0.0017270184693712206
5,0.036530826523424154,0.001719384936679793,-0.012004025386593934,-0.005785322436322221,-0.0022658857116128568,-0.00033805904121888327,0.0020332482935199883,0.004465078132057573,-0.0012333923594783087
6,0.04279779821350399,-0.0009071049473240829,-0.013488024723115848,-0.004684515100928768,-0.0026362924029827007,0.0001065761870065812,0.0022919731881205787,0.004709867317001319,-0.0025412786180539493
7,0.033301306668068166,0.0011643868655940022,-0.009317164928538412,-0.004227257541595644,-0.0027818377813702585,-0.001153742005425191,0.0014587287781670493,0.004720684469135244,-0.0012798548433652552
8,0.02712088117384771,-0.00039344816871627936,-0.006369297736065998,-0.003472505021691531,-0.0033639859932213345,-0.00024078902413690877,0.0016656479744033734,0.00321548911230659,-0.0007038108273107153
9,0.04946299473170544,0.00035213999021376776,-0.018722714005972037,-0.005813560805499037,-0.0014206802646577212,0.0010920597547587508,0.0032257599435635965,0.004657606085905119,-0.0031858102602117058
